Test Scenario ID,Test Scenario Name,Test Case ID,Test Type,Test Case Description,Input Data,Steps to Execute,Expected Result,Priority
TS_CAB_01,??ng ký & Xác th?c,TC01_01,Positive,Khách hàng ??ng ký tài kho?n thành công v?i thông tin h?p l?,"S?T: 0912345678, Pass: Abc@1234, Tên: Nguy?n V?n A","1. M? màn hình ??ng ký
2. Nh?p thông tin h?p l?
3. Nh?n ??ng ký","Tài kho?n ???c t?o, chuy?n h??ng ??n màn hình chính",High
TS_CAB_01,??ng ký & Xác th?c,TC01_02,Positive,Tài x? ??ng nh?p thành công,"S?T: 0987654321, Pass: Driver@123","1. M? màn hình ??ng nh?p
2. Nh?p S?T và Pass
3. Nh?n ??ng nh?p","??ng nh?p thành công, vào giao di?n dành cho tài x?",High
TS_CAB_01,??ng ký & Xác th?c,TC01_03,Negative,??ng nh?p sai m?t kh?u,"S?T: 0912345678, Pass: SaiPass123","1. M? màn hình ??ng nh?p
2. Nh?p S?T và Pass sai
3. Nh?n ??ng nh?p","Hi?n th? l?i: ""S? ?i?n tho?i ho?c m?t kh?u không chính xác""",High
TS_CAB_01,??ng ký & Xác th?c,TC01_04,Negative,??ng ký v?i S?T ?ã t?n t?i,S?T: 0912345678 (?ã dùng),"1. M? màn hình ??ng ký
2. Nh?p S?T ?ã t?n t?i
3. Nh?n ??ng ký","Hi?n th? l?i: ""S? ?i?n tho?i này ?ã ???c ??ng ký""",Medium
TS_CAB_01,??ng ký & Xác th?c,TC01_05,Boundary,??ng ký v?i S?T ?úng 10 s? (biên chu?n),S?T: 0123456789,"1. Nh?p S?T 10 s?
2. Nh?n ??ng ký",H? th?ng ch?p nh?n S?T,Medium
TS_CAB_01,??ng ký & Xác th?c,TC01_06,Boundary,??ng ký v?i M?t kh?u v?a ?? 8 ký t? (biên d??i),Pass: 12345678,"1. Nh?p m?t kh?u 8 ký t?
2. Nh?n ??ng ký",H? th?ng ch?p nh?n m?t kh?u (n?u rule >= 8),Medium
TS_CAB_01,??ng ký & Xác th?c,TC01_07,Empty,B? tr?ng tr??ng S? ?i?n tho?i khi ??ng ký,S?T: [R?ng],"1. ?? tr?ng S?T
2. Nh?n ??ng ký",Hi?n th? l?i b?t bu?c nh?p S?T,High
TS_CAB_01,??ng ký & Xác th?c,TC01_08,Empty,B? tr?ng M?t kh?u khi ??ng nh?p,Pass: [R?ng],"1. Nh?p S?T, b? tr?ng Pass
2. Nh?n ??ng nh?p",Hi?n th? l?i b?t bu?c nh?p M?t kh?u,High
TS_CAB_01,??ng ký & Xác th?c,TC01_09,Format,??ng ký v?i S?T ch?a ch? cái,S?T: 0912abc456,"1. Nh?p S?T có ch? cái
2. Nh?n ??ng ký","Hi?n th? l?i: ""S? ?i?n tho?i ch? ???c ch?a các ch? s?""",Medium
TS_CAB_01,??ng ký & Xác th?c,TC01_10,Format,??ng ký v?i Email sai ??nh d?ng (tùy ch?n),Email: test_email.com,"1. Nh?p Email thi?u @
2. Nh?n L?u","Hi?n th? l?i: ""Email không h?p l?""",Low
TS_CAB_02,??t xe & ?i?u ph?i,TC02_01,Positive,Khách hàng ??t xe thành công và có tài x? nh?n chuy?n,"?ón: A, ??n: B, Lo?i xe: 4 ch?","1. Nh?p ?i?m ?ón, ??n
2. Ch?n lo?i xe
3. Nh?n ??t xe","H? th?ng tìm và gán tài x?, hi?n th? thông tin tài x? cho khách",High
TS_CAB_02,??t xe & ?i?u ph?i,TC02_02,Positive,Chuy?n tài x? khác t? ??ng khi tài x? 1 t? ch?i,Tài x? 1 t? ch?i,"1. Khách ??t xe
2. TX1 t? ch?i",H? th?ng t? ??ng phát chuy?n cho TX2 g?n ?ó,High
TS_CAB_02,??t xe & ?i?u ph?i,TC02_03,Negative,Không tìm th?y tài x? kh? d?ng (h?t xe),Khu v?c không có xe,1. Khách ??t xe,"Hi?n th? l?i: ""Không có tài x? nào xung quanh. Vui lòng th? l?i sau""",High
TS_CAB_02,??t xe & ?i?u ph?i,TC02_04,Negative,Tài x? ?ang Offline nh?ng nh?n ???c chuy?n,Tài x? ch?n Offline,"1. TX chuy?n Offline
2. Có khách ??t xe",H? th?ng không phát chuy?n cho tài x? này,High
TS_CAB_02,??t xe & ?i?u ph?i,TC02_05,Boundary,??t xe v?i kho?ng cách quá ng?n (trùng ?i?m),?ón = ??n,1. Nh?p ?i?m ?ón trùng ?i?m ??n,Hi?n th? l?i ho?c áp d?ng c??c phí t?i thi?u,Medium
TS_CAB_02,??t xe & ?i?u ph?i,TC02_06,Boundary,Th?i gian ch? tài x? ph?n h?i h?t h?n (timeout),Ch? 30s,"1. Phát chuy?n cho TX
2. TX không thao tác trong 30s",H? th?ng t? ??ng chuy?n chuy?n cho tài x? khác,Medium
TS_CAB_02,??t xe & ?i?u ph?i,TC02_07,Empty,Không nh?p ?i?m ??n,"?ón: A, ??n: [R?ng]","1. ?? tr?ng ?i?m ??n
2. B?m ??t xe",Nút ??t xe b? vô hi?u hóa ho?c báo l?i yêu c?u nh?p ?i?m ??n,High
TS_CAB_02,??t xe & ?i?u ph?i,TC02_08,Empty,Không ch?n lo?i xe,Lo?i xe: [R?ng],"1. Nh?p ?i?m ?ón, ??n
2. Không ch?n lo?i xe",Báo l?i yêu c?u ch?n lo?i xe,High
TS_CAB_02,??t xe & ?i?u ph?i,TC02_09,Format,Nh?p t?a ?? ?i?m ?ón b? l?i ??nh d?ng,Lat/Lng không h?p l?,1. Mô ph?ng API truy?n sai t?a ??,"H? th?ng không tính ???c kho?ng cách, báo l?i không xác ??nh ???c v? trí",Medium
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_01,Positive,"Tài x? c?p nh?t tr?ng thái ""?ã ??n ?i?m ?ón""",Chuy?n ?ang th?c hi?n,"1. TX ??n n?i
2. B?m ""?ã ??n""","Tr?ng thái chuy?n ?i c?p nh?t, khách nh?n ???c thông báo",High
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_02,Positive,"Tài x? c?p nh?t tr?ng thái ""Hoàn thành chuy?n""",Chuy?n ?ang di chuy?n,"1. TX ??n ?ích
2. B?m ""Hoàn thành""","Chuy?n ?i k?t thúc, chuy?n sang màn hình thanh toán",High
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_03,Negative,"Tài x? b?m ""Hoàn thành"" khi ch?a b?m ""B?t ??u""",Tr?ng thái: ?ang ch?,1. TX c? g?ng b?m Hoàn thành luôn,"Nút ""Hoàn thành"" b? ?n ho?c báo l?i quy trình",Medium
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_04,Negative,Khách hàng h?y chuy?n khi tài x? ?ã ?ón khách,Tr?ng thái: ?ang di chuy?n,1. Khách tìm nút H?y chuy?n,Nút H?y chuy?n b? vô hi?u hóa ho?c tính phí ph?t,Medium
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_05,Boundary,?ánh giá tài x? 5 sao (biên trên),Rate: 5 sao,"1. Chuy?n hoàn thành
2. Ch?n 5 sao",H? th?ng ghi nh?n 5 sao,Low
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_06,Boundary,?ánh giá tài x? 1 sao (biên d??i),Rate: 1 sao,"1. Chuy?n hoàn thành
2. Ch?n 1 sao",H? th?ng ghi nh?n 1 sao,Low
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_07,Empty,G?i ?ánh giá nh?ng b? tr?ng s? sao,Rate: [R?ng],"1. Không ch?n sao
2. B?m G?i ?ánh giá",Báo l?i yêu c?u ch?n ít nh?t 1 sao,Low
TS_CAB_03,Th?c hi?n chuy?n ?i,TC03_08,Format,Nh?p ghi chú ch?a ký t? ??c bi?t không h?p l?,Ghi chú: <script>alert(1)</script>,"1. Nh?p script vào ô ghi chú
2. G?i",H? th?ng l?c b? mã ??c (sanitize) ho?c báo l?i ký t? không h?p l?,Medium
TS_CAB_04,Thanh toán & Tính c??c,TC04_01,Positive,Thanh toán b?ng Ti?n m?t thành công,PTTT: Ti?n m?t,"1. Chuy?n hoàn thành
2. Khách tr? ti?n m?t
3. TX xác nh?n","Giao d?ch thành công, c?p nh?t doanh thu",High
